Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.50,-.22,-.28,-.05,-.15,-.17,-.24,-.21,-.30,-.40,-.39,-.27,***,***,-.18,-.18,-.30
1881,-.29,-.20,-.02,.02,.06,-.31,.10,-.03,-.25,-.42,-.35,-.22,-.16,-.17,-.29,.02,-.08,-.34
1882,.27,.22,.04,-.29,-.22,-.27,-.26,-.13,-.23,-.50,-.32,-.67,-.20,-.16,.09,-.16,-.22,-.35
1883,-.56,-.65,-.14,-.28,-.24,-.10,-.04,-.21,-.32,-.15,-.43,-.14,-.27,-.32,-.63,-.22,-.12,-.30
1884,-.15,-.10,-.63,-.58,-.35,-.40,-.40,-.50,-.44,-.43,-.56,-.46,-.42,-.39,-.13,-.52,-.43,-.48
1885,-1.00,-.44,-.22,-.48,-.57,-.44,-.33,-.40,-.39,-.36,-.38,-.10,-.43,-.45,-.63,-.42,-.39,-.37
1886,-.73,-.83,-.70,-.36,-.32,-.36,-.13,-.42,-.32,-.30,-.38,-.20,-.42,-.41,-.55,-.46,-.30,-.33
1887,-1.07,-.69,-.43,-.37,-.24,-.19,-.23,-.53,-.20,-.48,-.26,-.42,-.43,-.41,-.65,-.35,-.32,-.31
1888,-.48,-.60,-.62,-.20,-.14,-.02,.01,-.20,-.18,-.02,.00,-.22,-.22,-.24,-.50,-.32,-.07,-.07
1889,-.27,.30,.00,.18,-.02,-.05,-.07,-.19,-.29,-.40,-.61,-.53,-.16,-.14,-.06,.05,-.10,-.43
1890,-.62,-.56,-.46,-.23,-.34,-.15,-.22,-.38,-.34,-.09,-.61,-.45,-.37,-.38,-.57,-.34,-.25,-.35
1891,-.45,-.67,-.15,-.34,-.14,-.11,-.11,-.12,-.07,-.27,-.52,-.03,-.25,-.28,-.53,-.21,-.11,-.29
1892,-.49,-.16,-.66,-.44,-.23,-.05,-.37,-.32,-.19,-.26,-.81,-.63,-.38,-.33,-.23,-.44,-.25,-.42
1893,-1.50,-.96,-.31,-.28,-.42,-.17,-.13,-.33,-.28,-.27,-.32,-.59,-.46,-.47,-1.03,-.34,-.21,-.29
1894,-.90,-.40,-.20,-.52,-.24,-.39,-.19,-.26,-.32,-.26,-.46,-.34,-.37,-.39,-.63,-.32,-.28,-.35
1895,-.68,-.79,-.48,-.18,-.29,-.20,-.17,-.26,-.05,-.08,-.11,-.21,-.29,-.30,-.61,-.32,-.21,-.08
1896,-.34,-.17,-.48,-.58,-.15,.09,.02,-.09,-.11,.06,-.19,-.20,-.18,-.18,-.24,-.40,.00,-.08
1897,-.38,-.40,-.38,-.03,.15,-.04,.06,-.05,-.05,-.15,-.24,-.27,-.15,-.15,-.33,-.09,-.01,-.15
1898,.07,-.43,-.79,-.27,-.27,-.07,-.11,-.16,-.16,-.36,-.50,-.25,-.28,-.28,-.21,-.44,-.12,-.34
1899,-.11,-.63,-.58,-.22,-.23,-.34,-.15,-.06,-.04,.05,.37,-.46,-.20,-.18,-.33,-.34,-.18,.13
1900,-.61,-.13,.06,-.09,-.03,-.08,-.11,-.07,-.02,.24,-.11,-.02,-.08,-.12,-.40,-.02,-.09,.04
1901,-.32,-.09,.28,.11,-.10,.02,.02,-.15,-.25,-.31,-.21,-.39,-.12,-.08,-.14,.10,-.03,-.26
1902,-.15,.04,-.36,-.36,-.37,-.34,-.31,-.27,-.31,-.28,-.43,-.58,-.31,-.30,-.17,-.36,-.31,-.34
1903,-.21,.13,-.13,-.44,-.42,-.43,-.42,-.54,-.48,-.48,-.41,-.55,-.37,-.37,-.22,-.33,-.46,-.46
1904,-.76,-.58,-.39,-.49,-.43,-.48,-.58,-.53,-.63,-.38,-.08,-.33,-.47,-.49,-.63,-.44,-.53,-.36
1905,-.40,-.81,-.22,-.44,-.27,-.27,-.20,-.23,-.18,-.26,.10,-.16,-.28,-.29,-.51,-.31,-.23,-.12
1906,-.55,-.53,-.20,.04,-.24,-.10,-.26,-.16,-.24,-.17,-.39,.03,-.23,-.25,-.41,-.13,-.17,-.27
1907,-.58,-.72,-.31,-.45,-.58,-.50,-.39,-.38,-.40,-.19,-.55,-.58,-.47,-.42,-.42,-.44,-.43,-.38
1908,-.53,-.27,-.70,-.47,-.28,-.29,-.35,-.56,-.30,-.45,-.62,-.55,-.45,-.45,-.46,-.48,-.40,-.46
1909,-.92,-.45,-.65,-.64,-.49,-.51,-.44,-.35,-.37,-.34,-.11,-.57,-.49,-.48,-.64,-.59,-.44,-.27
1910,-.34,-.36,-.49,-.40,-.29,-.44,-.37,-.39,-.42,-.30,-.57,-.80,-.43,-.41,-.42,-.39,-.40,-.43
1911,-.70,-.58,-.63,-.45,-.44,-.33,-.36,-.43,-.38,-.19,-.20,-.29,-.41,-.46,-.69,-.51,-.37,-.25
1912,-.34,-.16,-.59,-.15,-.11,-.13,-.51,-.76,-.80,-.84,-.51,-.56,-.46,-.43,-.26,-.29,-.47,-.71
1913,-.55,-.64,-.47,-.50,-.54,-.48,-.51,-.46,-.42,-.39,-.14,.11,-.42,-.47,-.58,-.50,-.48,-.32
1914,.18,-.10,-.35,-.39,-.18,-.22,-.33,-.27,-.30,-.01,-.22,-.05,-.19,-.17,.06,-.31,-.28,-.17
1915,-.26,-.09,-.24,.07,-.02,-.12,-.10,-.15,-.21,-.27,-.03,-.26,-.14,-.12,-.13,-.06,-.12,-.17
1916,-.09,-.16,-.38,-.34,-.36,-.50,-.34,-.37,-.49,-.35,-.47,-1.13,-.41,-.34,-.17,-.36,-.40,-.44
1917,-.53,-.69,-.75,-.65,-.73,-.49,-.33,-.40,-.31,-.63,-.32,-1.06,-.57,-.58,-.78,-.71,-.41,-.42
1918,-.69,-.46,-.25,-.59,-.49,-.46,-.34,-.37,-.26,-.05,-.22,-.56,-.40,-.44,-.74,-.44,-.39,-.17
1919,-.38,-.41,-.38,-.24,-.42,-.39,-.34,-.30,-.20,-.09,-.48,-.56,-.35,-.35,-.45,-.35,-.34,-.26
